timestamp,dev_dn,active_power_kw,day_cap_kwh,temperature_c,efficiency_pct,mppt_power_kw
2026-01-01T11:00:00Z,NE=146049818,0.16,0.22,13,96.07,0.165
2026-01-01T11:00:00Z,NE=193143992,0.538,0.62,14,97.23,0.547
2026-01-01T11:05:00Z,NE=146048777,0.234,0.24,13.1,96.68,0.242
2026-01-01T11:05:00Z,NE=146049818,0.202,0.24,13,96.33,0.206
2026-01-01T11:05:00Z,NE=193143992,0.543,0.62,14,97.25,0.558
2026-01-01T11:10:00Z,NE=146048777,0.201,0.26,13.1,96.59,0.203
2026-01-01T11:10:00Z,NE=146049818,0.228,0.26,13,96.61,0.236
2026-01-01T11:10:00Z,NE=193143992,0.764,0.68,14.2,97.69,0.785
2026-01-01T11:15:00Z,NE=146048777,0.206,0.26,13.2,96.69,0.214
2026-01-01T11:15:00Z,NE=146049818,0.262,0.28,13.2,96.77,0.269
2026-01-01T11:15:00Z,NE=193143992,0.601,0.74,14.2,97.41,0.617
2026-01-01T11:20:00Z,NE=146048777,0.283,0.28,13.3,97.01,0.283
2026-01-01T11:20:00Z,NE=146049818,0.275,0.3,13.2,97,0.275
2026-01-01T11:20:00Z,NE=193143992,0.604,0.8,14.4,97.39,0.62
2026-01-01T11:25:00Z,NE=146048777,0.335,0.31,13.5,97.4,0.34
2026-01-01T11:25:00Z,NE=146049818,0.333,0.33,13.4,97.11,0.337
2026-01-01T11:25:00Z,NE=193143992,0.912,0.88,14.6,97.77,0.931
2026-01-01T11:30:00Z,NE=146048777,0.356,0.34,13.5,97.4,0.36
2026-01-01T11:30:00Z,NE=146049818,0.452,0.37,13.6,97.65,0.471
2026-01-01T11:30:00Z,NE=193143992,1.202,0.98,14.8,97.77,1.229
2026-01-01T11:35:00Z,NE=146048777,0.364,0.38,13.7,97.43,0.373
2026-01-01T11:35:00Z,NE=146049818,0.452,0.37,13.5,97.63,0.463
2026-01-01T11:35:00Z,NE=193143992,0.724,1.07,15,97.69,0.742
2026-01-01T11:40:00Z,NE=146048777,0.268,0.4,13.7,97.01,0.277
2026-01-01T11:40:00Z,NE=146049818,0.278,0.4,13.6,97.04,0.284
2026-01-01T11:40:00Z,NE=193143992,0.727,1.07,15.1,97.71,0.744
2026-01-01T11:45:00Z,NE=146048777,0.169,0.42,13.7,96.39,0.18
2026-01-01T11:45:00Z,NE=146049818,0.18,0.42,13.8,95.94,0.196
2026-01-01T11:45:00Z,NE=193143992,0.5,1.14,15.2,97.25,0.514
2026-01-01T11:50:00Z,NE=146048777,0.172,0.44,13.9,96.32,0.179
2026-01-01T11:50:00Z,NE=146049818,0.142,0.43,13.8,95.55,0.149
2026-01-01T11:50:00Z,NE=193143992,0.412,1.18,15.4,96.92,0.421
2026-01-01T11:55:00Z,NE=146048777,0.084,0.45,13.9,94.59,0.095
2026-01-01T11:55:00Z,NE=146049818,0.124,0.45,13.8,95.28,0.132
2026-01-01T11:55:00Z,NE=193143992,0.283,1.22,15.4,96.16,0.299
2026-01-01T12:00:00Z,NE=146048777,0.086,0.46,13.9,94.57,0.095
2026-01-01T12:00:00Z,NE=146049818,0.08,0.46,13.8,93.75,0.093
2026-01-01T12:00:00Z,NE=193143992,0.262,1.24,15.4,96.13,0.269
2026-01-01T12:05:00Z,NE=146048777,0.087,0.47,13.9,94.5,0.094
2026-01-01T12:05:00Z,NE=146049818,0.069,0.46,13.8,92.86,0.075
2026-01-01T12:05:00Z,NE=193143992,0.256,1.27,15.2,96.05,0.267
2026-01-01T12:10:00Z,NE=146048777,0.095,0.47,13.9,94.72,0.1
2026-01-01T12:10:00Z,NE=146049818,0.091,0.47,13.8,93.71,0.095
2026-01-01T12:10:00Z,NE=193143992,0.264,1.29,15.2,95.98,0.28
2026-01-01T12:15:00Z,NE=146048777,0.093,0.47,13.8,94.85,0.098
2026-01-01T12:15:00Z,NE=146049818,0.084,0.48,13.8,93.69,0.081
2026-01-01T12:15:00Z,NE=193143992,0.262,1.29,15.2,95.97,0.273
2026-01-01T12:20:00Z,NE=146048777,0.068,0.48,13.9,93.67,0.078
2026-01-01T12:20:00Z,NE=146049818,0.089,0.49,13.8,93.77,0.088
2026-01-01T12:20:00Z,NE=193143992,0.18,1.31,15,94.91,0.194
2026-01-01T12:25:00Z,NE=146048777,0.09,0.49,13.9,94.58,0.094
2026-01-01T12:25:00Z,NE=146049818,0.075,0.49,13.8,93.16,0.087
2026-01-01T12:25:00Z,NE=193143992,0.262,1.33,15,96.06,0.271
2026-01-01T12:30:00Z,NE=146048777,0.076,0.5,13.9,94.07,0.085
2026-01-01T12:30:00Z,NE=146049818,0.036,0.5,13.8,89.36,0.043
2026-01-01T12:30:00Z,NE=193143992,0.136,1.36,15,93.65,0.146
2026-01-01T12:35:00Z,NE=146048777,0.045,0.5,13.7,92.65,0.041
2026-01-01T12:35:00Z,NE=146049818,0.039,0.5,13.8,89.36,0.044
2026-01-01T12:35:00Z,NE=193143992,0.12,1.37,15,92.84,0.135
2026-01-01T12:40:00Z,NE=146048777,0.029,0.5,13.9,89.36,0.031
2026-01-01T12:40:00Z,NE=146049818,0.029,0.5,13.8,85.35,0.043
2026-01-01T12:40:00Z,NE=193143992,0.117,1.38,15,92.88,0.124
2026-01-01T12:45:00Z,NE=146048777,0.072,0.51,13.7,94.37,0.072
2026-01-01T12:45:00Z,NE=146049818,0.041,0.51,13.8,89.36,0.043
2026-01-01T12:45:00Z,NE=193143992,0.116,1.38,14.9,92.97,0.125
2026-01-01T12:50:00Z,NE=146048777,0.047,0.51,13.7,92.65,0.052
2026-01-01T12:50:00Z,NE=146049818,0.063,0.51,13.8,91.76,0.073
2026-01-01T12:50:00Z,NE=193143992,0.207,1.39,14.8,95.49,0.217
2026-01-01T12:55:00Z,NE=146048777,0.058,0.52,13.7,93.21,0.063
2026-01-01T12:55:00Z,NE=146049818,0.058,0.52,13.8,91.45,0.065
2026-01-01T12:55:00Z,NE=193143992,0.173,1.41,14.6,95.08,0.186
2026-01-01T13:00:00Z,NE=146048777,0.039,0.52,13.7,91.45,0.043
2026-01-01T13:00:00Z,NE=146049818,0.051,0.52,13.6,91.45,0.055
2026-01-01T13:00:00Z,NE=193143992,0.148,1.43,14.6,94.3,0.157
2026-01-01T13:05:00Z,NE=146048777,0.037,0.53,13.7,91.45,0.039
2026-01-01T13:05:00Z,NE=146049818,0.028,0.53,13.6,85.35,0.035
2026-01-01T13:05:00Z,NE=193143992,0.088,1.44,14.6,91.71,0.103
2026-01-01T13:10:00Z,NE=146048777,0.038,0.53,13.7,91.45,0.041
2026-01-01T13:10:00Z,NE=146049818,0.027,0.53,13.8,85.35,0.035
2026-01-01T13:10:00Z,NE=193143992,0.093,1.45,14.6,91.64,0.096
2026-01-01T13:15:00Z,NE=146048777,0.021,0.53,13.7,86.96,0.029
2026-01-01T13:15:00Z,NE=146049818,0.032,0.53,13.6,86.96,0.04
2026-01-01T13:15:00Z,NE=193143992,0.09,1.46,14.6,91.71,0.107
2026-01-01T13:20:00Z,NE=146048777,0.025,0.53,13.7,89.36,0.036
2026-01-01T13:20:00Z,NE=146049818,0.018,0.53,13.6,78.91,0.03
2026-01-01T13:20:00Z,NE=193143992,0.084,1.46,14.4,91.6,0.092
2026-01-01T13:25:00Z,NE=146048777,0.008,0.53,13.5,77.3,0.013
2026-01-01T13:25:00Z,NE=146049818,0.009,0.54,13.6,74.08,0.011
2026-01-01T13:25:00Z,NE=193143992,0.048,1.46,14.4,85.35,0.057
2026-01-01T13:30:00Z,NE=146048777,0.008,0.53,13.5,75.69,0.013
2026-01-01T13:30:00Z,NE=146049818,0.006,0.54,13.6,74.08,0.009
2026-01-01T13:30:00Z,NE=193143992,0.038,1.47,14.4,83.74,0.049
2026-01-01T13:35:00Z,NE=146048777,0.001,0.53,13.5,72.47,0.005
2026-01-01T13:35:00Z,NE=146049818,0.006,0.54,13.6,72.47,0.008
2026-01-01T13:35:00Z,NE=193143992,0.024,1.47,14.2,78.91,0.039
2026-01-01T13:40:00Z,NE=146048777,0.001,0.53,13.5,72.47,0.001
2026-01-01T13:40:00Z,NE=146049818,0.004,0.54,13.6,72.47,0.009
2026-01-01T13:40:00Z,NE=193143992,0.022,1.47,14.2,77.3,0.028
