timestamp,pv_kwh,gshp_kwh,ashp_kwh,pac_kwh,offtake_kwh,feedin_kwh,t_ballon,t_ballon_bas,t_sol,t_sol_return,t_ext,t_ext_site,t_ext_openmeteo,gshp_kw_mean,ashp_kw_mean,gshp_cop_max,ashp_cop_max,gshp_puissance_th,ashp_puissance_th,gshp_t_condenseur,ashp_t_condenseur,gshp_t_evaporateur,cop_gshp,cop_ashp,cop,prix_eur_kwh
2026-05-29 07:45:00,6.270379838805823,0.013716676303185522,0.2420033329874277,0.2557200092906132,0,4.162999999998647,19.700000127156574,18.46666653951009,14.233333587646484,19.566666920979817,26,26,23.8,0.004106811046600342,0.002555983066558838,NA,75,0,0,22.08194351196289,0,19.600231806437176,6,5.5,5.5268197164962505,0.0584
2026-05-29 08:00:00,6.889737986354956,0.013487191278021783,0.24235926154255866,0.25584645282058044,0,4.794000000001688,19.266666412353516,17.53333282470703,13.600000063578287,19.399999618530273,26.833333333333332,26.833333333333332,24.4,0.004102813720703125,0.0025593769550323487,NA,75,0,0,22.092438379923504,0,19.58765474955241,6,5.5,5.526357979814323,0.05799
2026-05-29 08:15:00,7.4678640759227735,0.013606292814016343,0.243488554880023,0.25709484769403934,0,5.186999999999898,19.266666412353516,18.43333371480306,14.266666730244955,19.366666158040363,27.5,27.5,24.9,0.004114723205566407,0.0025423972606658934,NA,75,0,0,22.095061620076496,0,19.590124130249023,6,5.5,5.526461620946618,0.017929999999999998
2026-05-29 08:30:00,7.948977858857245,0.013395153456382104,0.2419080024957657,0.2553031559521478,0,5.463999999999942,19.100000381469727,17.600000381469727,13.699999809265137,19.200000762939453,28.266666412353516,28.266666412353516,25.4,0.0041266770362854005,0.0025720081329345702,NA,75,0,0,22.108179728190105,0,19.587730407714844,6,5.5,5.526233818783839,0.01257
2026-05-29 08:45:00,8.349930380131232,0.013543960786395474,0.23717979620397092,0.2507237569903664,0,5.792999999999665,19.366666793823242,18.433333079020183,14.466666539510092,19.3000005086263,29.433333079020183,29.433333079020183,25.8,0.004123678684234619,0.0025584688186645506,NA,75,0,0,22.126543045043945,0,19.56049156188965,6,5.5,5.5270097276559955,0.0057599999999999995
2026-05-29 09:00:00,8.609494957901912,0.013506714584786096,0.23630013099312783,0.2498068455779139,0,6.065000000000509,19.399999618530273,17.566666920979817,13.733333269755045,19.5,30.266666412353516,30.266666412353516,26.3,0.004083342552185058,0.0025405597686767576,NA,75,0,0,22.15277862548828,0,19.58271662394206,6,5.5,5.527034316360584,0.01
2026-05-29 09:15:00,8.617353905123528,0.013323491272050887,0.24396356932818888,0.25728706060023976,0,6.233999999998559,19.666667302449543,18.5,14.333333333333334,19.566666920979817,31.1999994913737,31.1999994913737,26.6,0.004079188823699951,0.002531170129776001,NA,75,0,0,22.184261322021484,0,19.625463485717773,6,5.5,5.525892268427662,0.0036
2026-05-29 09:30:00,8.603902311739553,0.01331877866992727,0.23635521778464316,0.24967399645457045,0,6.334000000000742,19.46666653951009,17.43333371480306,13.633333206176758,19.566666920979817,32.03333346048991,32.03333346048991,27,0.004090133666992187,0.0025272748470306396,NA,75,0,0,22.2209898630778,0,19.630557378133137,6,5.5,5.526672338447449,0.00171
2026-05-29 09:45:00,8.65993843309182,0.013505014827940613,0.2427165679037571,0.2562215827316977,0,6.620999999999185,19.600000381469727,18.633333206176758,14.5,19.633333206176758,32.36666615804037,32.36666615804037,27.3,0.0040938720703125,0.0025338714122772215,NA,75,0,0,22.27083460489909,0,19.63055674235026,6,5.5,5.526354171034223,0.00183
2026-05-29 10:00:00,8.953607186480024,0.013594231141731142,0.23625017689168454,0.24984440803341568,0,6.827000000001135,19.3000005086263,17.599999745686848,13.699999809265137,19.53333346048991,32.833333333333336,32.833333333333336,27.6,0.004117388248443604,0.002520292520523071,NA,75,0,0,22.34166653951009,0,19.663658777872723,6,5.5,5.527205394046508,0.00189
2026-05-29 10:15:00,9.171062428439999,0.013705816414672882,0.24725511971116065,0.26096093612583354,0,7.010000000000218,19.5,18.299999872843426,14.300000190734863,19.5,33.300000508626304,33.300000508626304,27.9,0.0041357197761535645,0.0025317327976226807,NA,75,0,0,22.407254536946613,0,19.684027353922527,6,5.5,5.526260283661888,0.00123
2026-05-29 10:30:00,9.430188367295983,0.013791844487190246,0.24296936638653277,0.256761210873723,0,7.091999999998734,19.433333079020183,17.833332697550457,14,19.633333206176758,33.86666615804037,33.86666615804037,28.1,0.004153426170349121,0.0024516677856445315,NA,75,0,0,22.46759287516276,0,19.75277837117513,6,5.5,5.526857336511732,0.00122
2026-05-29 10:45:00,9.655941195392268,0.013956131146740517,0.2440971056520939,0.2580532367988344,0,7.118000000000393,19.399999618530273,18.066666920979817,14.233333269755045,19.566666920979817,33.59999974568685,33.59999974568685,28.4,0.0041627464294433595,0.0023976407051086424,NA,75,0,0,22.570138295491535,0,19.824073791503906,6,5.5,5.527041185996864,6.8e-4
2026-05-29 11:00:00,9.86539127715906,0.013791294136099167,0.24304581260681152,0.25683710674291066,0,7.07799999999952,19.433333079020183,17.933333079020183,14.233333269755045,19.666666666666668,33.83333206176758,33.83333206176758,28.6,0.004149413108825684,0.0023866980075836182,NA,75,0,0,22.683101654052734,0,19.85972277323405,6,5.5,5.526848328715026,0.00114
2026-05-29 11:15:00,9.853401813490734,0.013510967653244733,0.2390827801078558,0.25259374776110055,0,7.212000000001353,19.5,17.96666653951009,14.233333269755045,19.600000381469727,34.300000508626304,34.300000508626304,29,0.004153785705566407,0.002432989835739136,NA,75,0,0,22.80108070373535,0,19.93865712483724,6,5.5,5.526744461755291,4e-4
2026-05-29 11:30:00,9.684123745661411,0.01375062941525539,0.24398044784367084,0.25773107725892624,0,6.459999999999127,19.700000127156574,18.200000127156574,14.166666984558107,19.833332697550457,34.56666819254557,34.56666819254557,29.4,0.004126924991607666,0.0024581222534179686,NA,75,0,0,22.90601984659831,0,20.002314885457356,6,5.5,5.526676312304862,1.7999999999999998e-4
2026-05-29 11:45:00,9.497994632859228,0.013605030725258985,0.24174505260586737,0.25535008333112635,0,5.6929999999993015,19.600000381469727,17.799999872843426,14.133333524068197,19.866666158040363,34.70000076293945,34.70000076293945,29.8,0.00413437271118164,0.0024093475341796875,NA,75,0,0,22.98541831970215,0,20.058334350585938,6,5.5,5.526639957480681,4e-5
2026-05-29 12:00:00,9.198148381422406,0.013733907666988671,0.239868287011981,0.25360219467896966,0,5.481999999999971,19.666666666666668,18.233333587646484,14.166666666666668,19.866666793823242,34.59999974568685,34.59999974568685,30.2,0.0041199736595153805,0.0024123735427856443,NA,75,0,0,23.05833371480306,0,20.09398078918457,6,5.5,5.527077659332512,0.00195
2026-05-29 12:15:00,8.948270413017903,0.013691185110234073,0.23806601156294346,0.25175719667317753,0,5.9950000000008,19.433333079020183,17.766666412353516,14.166666666666666,19.633333841959637,34.56666564941406,34.56666564941406,29.9,0.004138755798339844,0.002414942979812622,NA,75,0,0,23.128549575805664,0,20.152546564737957,6,5.5,5.527191248733214,0.00182
2026-05-29 12:30:00,8.700768405401332,0.0137148373471573,0.24632744917273522,0.26004228651989253,0,6.7369999999991705,19.53333346048991,18.266666412353516,14.46666653951009,19.733333587646484,35.5,35.5,29.6,0.004132443904876709,0.002360464811325073,NA,75,0,0,23.187964121500652,0,20.162731806437176,6,5.5,5.52637039831233,0.00173
2026-05-29 12:45:00,8.501407018672522,0.013611847713124008,0.24119591599702836,0.25480776371015235,0,6.64600000000064,19.46666653951009,17.633333206176758,14.133333206176758,19.733332951863606,35.59999974568685,35.59999974568685,29.4,0.004138020992279052,0.0024302406311035155,NA,75,0,0,23.25548044840495,0,20.241667429606117,6,5.5,5.526710033310852,0.00141
2026-05-29 13:00:00,8.253539478627038,0.013553924059524434,0.24005639395071193,0.25361031801023637,0,6.3700000000008,19.733332951863606,18.399999618530273,14.566666920979818,19.899999618530273,34.900001525878906,34.900001525878906,29.1,0.00414863395690918,0.002436842441558838,NA,75,0,0,23.320293426513672,0,20.272223790486652,6,5.5,5.5267219491814545,8.399999999999999e-4
2026-05-29 13:15:00,7.986773912006785,0.013217652930878104,0.23435731128649787,0.24757496421737596,0,5.498999999999796,19.53333346048991,17.46666653951009,14,19.799999872843426,35.29999923706055,35.29999923706055,29.1,0.0040670747756958005,0.0024080133438110353,NA,75,0,0,23.390509923299152,0,20.312964121500652,6,5.5,5.526694243847841,0.00211
2026-05-29 13:30:00,7.61839033014889,0.013114829273879877,0.23637879522144795,0.24949362449532783,0,5.6340000000000146,19.799999237060547,18.599999745686848,14.800000190734865,19.899999618530273,35.06666692097982,35.06666692097982,29,0.004045556545257569,0.002350492238998413,NA,75,0,0,23.45532480875651,0,20.356251398722332,6,5.5,5.526282894603837,0.01746
2026-05-29 13:45:00,7.482595032807942,0.013145341998897492,0.23334710192680358,0.24649244392570108,0,5.021999999999025,19.633333841959637,17.46666653951009,13.866666793823242,19.866666158040363,34.666666666666664,34.666666666666664,29,0.004043877124786377,0.0023210697174072268,NA,75,0,0,23.520139694213867,0,20.42754618326823,6,5.5,5.526664797081691,0.06504
2026-05-29 14:00:00,7.378856929482609,0.01341873900174687,0.2401006097346544,0.2535193487364013,0,5.800000000001091,19.866666793823242,18.366666793823242,14.766666412353516,19.899999618530273,33.86666742960612,33.86666742960612,29,0.0040546789169311525,0.0023859102725982666,NA,75,0,0,23.58495267232259,0,20.460650126139324,6,5.5,5.526464920860338,0.0052699999999999995
2026-05-29 14:15:00,7.130331431065083,0.01355468168387597,0.24159617447853088,0.25515085616240685,0,5.337999999999738,19.833333333333332,17.899999618530273,14.066666603088379,20.066666920979817,34.333333333333336,34.333333333333336,28.9,0.004132695198059082,0.0023996181488037107,NA,75,0,0,23.64166768391927,0,20.488659540812176,6,5.5,5.526562093280315,0.08
2026-05-29 14:30:00,6.688768256938931,0.013857607019133866,0.24124150405824185,0.2550991110773757,0,4.880999999999403,19.96666653951009,17.733332951863606,14.300000190734863,20.066666920979817,33.666666666666664,33.666666666666664,28.8,0.0041382722854614255,0.0023823847770690918,NA,75,0,0,23.703781763712563,0,20.549769083658855,6,5.5,5.527161221692636,0.1586
2026-05-29 14:45:00,5.989577826915334,0.013591291454140446,0.24179655078053475,0.2553878422346752,0,5.309999999999491,20.066666920979817,18.566666920979817,14.533333460489908,20.233333587646484,33.93333307902018,33.93333307902018,28.6,0.00414860200881958,0.0023566458225250243,NA,75,0,0,23.76049359639486,0,20.549769083658855,6,5.5,5.526609119947165,0.19484
2026-05-29 15:00:00,5.21929133946828,0.013090102939881035,0.23513597317039966,0.2482260761102807,0,4.598000000001775,19.833332697550457,17.266666412353516,14.033333142598469,20.066666920979817,34.199999491373696,34.199999491373696,28.5,0.004092761993408203,0.002314499855041504,NA,75,0,0,23.811805725097656,0,20.628703435262043,6,5.5,5.526367300214796,0.09781000000000001
2026-05-29 15:15:00,4.475176973931352,0.012861235788557678,0.23043274243921041,0.2432939782277681,0,3.9619999999995343,20.166667302449543,18.633333206176758,14.933333396911621,20.200000127156574,33.8999989827474,33.8999989827474,28.5,0.004005111217498779,0.00238184928894043,NA,75,0,0,23.871220270792644,0,20.649075826009113,6,5.5,5.526431471675219,0.09769
2026-05-29 15:30:00,3.907322345615973,0.013135636906139553,0.23358581825345753,0.2467214551595971,0,3.594999999999345,19.700000127156574,17.566666920979817,13.799999872843424,19.93333371480306,33.53333282470703,33.53333282470703,28.5,0.004024398803710937,0.00236210036277771,NA,75,0,0,23.917129516601562,0,20.717823028564453,6,5.5,5.5266203782270225,0.10676000000000001
2026-05-29 15:45:00,3.4131590549693294,0.013352399858646094,0.23920638543367387,0.25255878529231995,0,3.3400000000001455,19.700000127156574,17.966665903727215,14.633333524068197,19.899999618530273,33.63333384195963,33.63333384195963,28.5,0.004044429779052734,0.002363539457321167,NA,75,0,0,23.98055585225423,0,20.74328676859538,6,5.5,5.526434241523596,0.13478
